pedestrianId simTime groupId-PID5
1 0.0 0
1 0.8 0
2 0.8 0
2 1.4 0
1 1.7 0
3 2.0 0
2 2.1 0
1 2.5 0
2 2.7 0
3 2.7 0
1 3.3 0
2 3.3 0
3 3.3 0
2 4.0 0
3 4.0 0
4 4.0 0
1 4.2 0
2 4.6 0
4 4.6 0
3 4.7 0
5 4.8 0
1 5.0 0
4 5.2 0
2 5.3 0
3 5.3 0
4 5.7 0
1 5.8 0
5 5.8 0
2 5.9 0
3 6.0 0
4 6.3 0
6 6.4 0
2 6.5 0
3 6.6 0
1 6.7 0
5 6.8 0
4 6.9 0
6 7.1 0
2 7.2 0
3 7.3 0
1 7.5 0
4 7.5 0
7 7.6 0
2 7.8 0
5 7.8 0
6 7.8 0
3 8.0 0
4 8.0 0
7 8.2 0
1 8.4 0
2 8.4 0
6 8.4 0
3 8.6 0
4 8.6 0
5 8.8 0
7 8.8 0
2 9.1 0
6 9.1 0
1 9.2 0
4 9.2 0
8 9.2 0
3 9.3 0
7 9.3 0
2 9.7 0
4 9.8 0
5 9.8 0
6 9.8 2
7 9.9 0
8 9.9 0
1 10.0 2
3 10.0 0
2 10.4 0
4 10.4 0
6 10.5 2
7 10.5 0
3 10.6 0
8 10.6 0
5 10.8 0
1 10.9 2
4 10.9 0
2 11.0 0
6 11.1 2
7 11.1 0
9 11.2 0
3 11.3 0
8 11.3 0
4 11.5 0
2 11.6 0
7 11.6 0
1 11.7 2
5 11.8 0
6 11.8 2
9 11.8 0
3 11.9 0
8 12.0 0
4 12.1 0
7 12.2 0
2 12.3 0
9 12.4 0
1 12.5 2
6 12.5 2
3 12.6 0
4 12.7 0
8 12.7 0
5 12.8 0
7 12.8 0
2 12.9 0
9 13.0 0
6 13.2 2
10 13.2 0
3 13.3 0
4 13.3 0
8 13.3 0
1 13.4 2
7 13.4 0
2 13.5 0
9 13.6 0
4 13.8 0
10 13.8 0
3 13.9 0
5 13.9 0
6 13.9 2
7 13.9 0
8 14.0 0
11 14.0 1
1 14.2 2
2 14.2 0
9 14.2 0
10 14.3 0
4 14.4 0
6 14.5 2
7 14.5 0
3 14.6 0
11 14.6 1
8 14.7 0
2 14.8 0
9 14.8 0
5 14.9 0
10 14.9 0
1 15.0 2
4 15.0 0
7 15.1 0
11 15.1 1
6 15.2 2
12 15.2 1
3 15.3 0
2 15.4 0
8 15.4 0
10 15.4 0
9 15.5 0
4 15.6 0
7 15.7 0
11 15.7 1
12 15.8 1
1 15.9 2
3 15.9 0
5 15.9 0
6 15.9 2
10 16.0 0
13 16.0 1
2 16.1 0
4 16.1 2
8 16.1 0
9 16.1 0
7 16.2 0
11 16.3 1
12 16.4 1
10 16.5 0
13 16.5 1
3 16.6 0
6 16.6 2
1 16.7 2
2 16.7 0
4 16.7 2
9 16.7 0
7 16.8 0
8 16.8 0
11 16.8 1
5 16.9 0
12 17.0 1
13 17.0 1
10 17.1 0
14 17.2 1
3 17.3 0
4 17.3 2
6 17.3 2
9 17.3 0
2 17.4 0
7 17.4 0
11 17.4 1
1 17.5 2
8 17.5 0
13 17.5 1
10 17.6 0
12 17.6 1
14 17.8 1
