pedestrianId simTime groupId-PID5
1 0.4 0
2 0.4 0
3 0.4 0
4 0.4 0
5 0.4 0
6 0.4 2
7 0.4 0
8 0.4 0
9 0.4 0
10 0.4 2
11 0.4 1
12 0.4 1
13 0.4 1
14 0.4 1
15 0.4 1
16 0.4 1
17 0.4 1
18 0.4 1
19 0.4 1
20 0.4 1
21 0.4 1
22 0.4 1
23 0.4 1
24 0.4 1
25 0.4 1
26 0.4 1
27 0.4 1
28 0.4 1
29 0.4 1
30 0.4 1
31 0.4 1
32 0.4 1
33 0.4 1
34 0.4 1
35 0.4 1
36 0.4 1
37 0.4 1
38 0.4 1
39 0.4 1
40 0.4 1
2 0.9 0
9 0.9 0
11 0.9 1
13 0.9 1
15 0.9 1
19 0.9 1
20 0.9 1
26 0.9 1
27 0.9 1
32 0.9 1
35 0.9 1
37 0.9 1
38 0.9 1
39 0.9 1
40 0.9 1
1 1.0 0
3 1.0 0
4 1.0 0
6 1.0 2
7 1.0 0
12 1.0 1
14 1.0 1
17 1.0 1
18 1.0 1
23 1.0 1
24 1.0 1
25 1.0 1
28 1.0 1
29 1.0 1
34 1.0 1
36 1.0 1
5 1.1 0
8 1.1 0
10 1.1 2
16 1.1 1
22 1.1 1
31 1.1 1
33 1.1 1
30 1.2 1
21 1.3 1
2 1.4 0
9 1.4 0
13 1.4 1
15 1.4 1
19 1.4 1
20 1.4 1
32 1.4 1
35 1.4 1
37 1.4 1
38 1.4 1
40 1.4 1
4 1.5 0
6 1.5 2
11 1.5 1
14 1.5 1
18 1.5 1
26 1.5 1
27 1.5 1
29 1.5 1
34 1.5 1
39 1.5 1
1 1.6 0
3 1.6 0
7 1.6 0
12 1.6 1
23 1.6 1
24 1.6 1
25 1.6 1
28 1.6 1
36 1.6 1
5 1.7 0
8 1.7 0
16 1.7 1
17 1.7 1
22 1.7 1
10 1.8 2
31 1.8 1
33 1.8 1
35 1.8 1
9 1.9 0
13 1.9 1
15 1.9 1
19 1.9 1
20 1.9 1
37 1.9 1
38 1.9 1
2 2.0 0
11 2.0 1
26 2.0 1
27 2.0 1
30 2.0 1
32 2.0 1
39 2.0 1
40 2.0 1
4 2.1 0
6 2.1 2
12 2.1 1
14 2.1 1
18 2.1 1
24 2.1 1
25 2.1 1
28 2.1 1
29 2.1 1
34 2.1 1
1 2.2 0
7 2.2 0
21 2.2 1
23 2.2 1
36 2.2 1
3 2.3 0
17 2.3 1
35 2.3 1
5 2.4 0
8 2.4 0
9 2.4 0
13 2.4 1
15 2.4 1
16 2.4 1
19 2.4 1
20 2.4 1
22 2.4 1
37 2.4 1
38 2.4 1
2 2.5 0
11 2.5 1
26 2.5 1
31 2.5 1
32 2.5 1
33 2.5 1
40 2.5 1
10 2.6 2
14 2.6 1
18 2.6 1
27 2.6 1
29 2.6 1
39 2.6 1
4 2.7 0
6 2.7 2
12 2.7 1
24 2.7 1
25 2.7 1
28 2.7 1
30 2.7 1
34 2.7 1
1 2.8 0
7 2.8 0
23 2.8 1
35 2.8 1
36 2.8 1
38 2.8 1
3 2.9 0
9 2.9 0
15 2.9 1
17 2.9 1
19 2.9 1
20 2.9 1
37 2.9 1
2 3.0 0
11 3.0 1
13 3.0 1
21 3.0 1
22 3.0 1
32 3.0 1
40 3.0 1
5 3.1 0
8 3.1 0
16 3.1 1
26 3.1 1
27 3.1 1
39 3.1 1
6 3.2 2
14 3.2 1
18 3.2 1
29 3.2 1
31 3.2 1
33 3.2 1
34 3.2 1
4 3.3 0
10 3.3 2
12 3.3 1
24 3.3 1
25 3.3 1
28 3.3 1
35 3.3 1
38 3.3 1
1 3.4 0
7 3.4 0
9 3.4 0
19 3.4 1
20 3.4 1
23 3.4 1
36 3.4 1
37 3.4 1
2 3.5 0
3 3.5 0
13 3.5 1
15 3.5 1
17 3.5 1
30 3.5 1
32 3.5 1
40 3.5 1
11 3.6 1
26 3.6 1
27 3.6 1
5 3.7 0
8 3.7 0
22 3.7 1
35 3.7 1
39 3.7 1
4 3.8 0
6 3.8 2
14 3.8 1
16 3.8 1
18 3.8 1
29 3.8 1
34 3.8 1
38 3.8 1
9 3.9 0
12 3.9 1
19 3.9 1
20 3.9 1
21 3.9 1
23 3.9 1
24 3.9 1
25 3.9 1
28 3.9 1
31 3.9 1
33 3.9 1
37 3.9 1
1 4.0 0
7 4.0 0
10 4.0 2
13 4.0 1
15 4.0 1
36 4.0 1
40 4.0 1
2 4.1 0
3 4.1 0
11 4.1 1
26 4.1 1
32 4.1 1
17 4.2 1
27 4.2 1
35 4.2 1
39 4.2 1
14 4.3 1
18 4.3 1
22 4.3 1
29 4.3 1
30 4.3 1
38 4.3 1
4 4.4 0
5 4.4 0
6 4.4 2
8 4.4 0
9 4.4 0
16 4.4 1
19 4.4 1
20 4.4 1
28 4.4 1
34 4.4 1
37 4.4 1
12 4.5 1
13 4.5 1
15 4.5 1
23 4.5 1
24 4.5 1
25 4.5 1
33 4.5 1
40 4.5 1
1 4.6 0
2 4.6 0
7 4.6 0
11 4.6 1
31 4.6 1
32 4.6 1
36 4.6 1
10 4.7 2
26 4.7 1
27 4.7 1
35 4.7 1
3 4.8 0
17 4.8 1
21 4.8 1
38 4.8 1
39 4.8 1
6 4.9 2
9 4.9 0
14 4.9 1
18 4.9 1
19 4.9 1
20 4.9 1
29 4.9 1
34 4.9 1
37 4.9 1
4 5.0 0
8 5.0 0
13 5.0 1
15 5.0 1
22 5.0 1
24 5.0 1
25 5.0 1
28 5.0 1
2 5.1 0
5 5.1 0
12 5.1 1
16 5.1 1
23 5.1 1
30 5.1 1
32 5.1 1
40 5.1 1
1 5.2 0
7 5.2 0
11 5.2 1
26 5.2 1
27 5.2 1
33 5.2 1
35 5.2 1
36 5.2 1
38 5.3 1
39 5.3 1
3 5.4 0
9 5.4 0
14 5.4 1
17 5.4 1
18 5.4 1
19 5.4 1
20 5.4 1
31 5.4 1
37 5.4 1
4 5.5 0
6 5.5 2
10 5.5 2
13 5.5 1
15 5.5 1
29 5.5 1
34 5.5 1
2 5.6 0
12 5.6 1
22 5.6 1
24 5.6 1
25 5.6 1
28 5.6 1
32 5.6 1
35 5.6 1
40 5.6 1
5 5.7 0
8 5.7 0
11 5.7 1
21 5.7 1
23 5.7 1
26 5.7 1
36 5.7 1
1 5.8 0
16 5.8 1
27 5.8 1
38 5.8 1
7 5.9 0
19 5.9 1
20 5.9 1
30 5.9 1
33 5.9 1
37 5.9 1
39 5.9 1
3 6.0 0
9 6.0 0
13 6.0 1
14 6.0 1
15 6.0 1
17 6.0 1
18 6.0 1
29 6.0 1
34 6.0 1
2 6.1 0
4 6.1 0
6 6.1 2
31 6.1 1
32 6.1 1
35 6.1 1
40 6.1 1
10 6.2 2
11 6.2 1
12 6.2 1
24 6.2 1
25 6.2 1
28 6.2 1
22 6.3 1
23 6.3 1
26 6.3 1
27 6.3 1
36 6.3 1
38 6.3 1
1 6.4 0
5 6.4 0
8 6.4 0
16 6.4 1
19 6.4 1
20 6.4 1
37 6.4 1
39 6.4 1
7 6.5 0
9 6.5 0
13 6.5 1
15 6.5 1
18 6.5 1
3 6.6 0
6 6.6 2
14 6.6 1
21 6.6 1
29 6.6 1
30 6.6 1
33 6.6 1
34 6.6 1
35 6.6 1
40 6.6 1
2 6.7 0
4 6.7 0
17 6.7 1
28 6.7 1
32 6.7 1
38 6.7 1
11 6.8 1
12 6.8 1
24 6.8 1
25 6.8 1
26 6.8 1
31 6.8 1
10 6.9 2
19 6.9 1
20 6.9 1
22 6.9 1
23 6.9 1
27 6.9 1
36 6.9 1
37 6.9 1
39 6.9 1
1 7.0 0
8 7.0 0
9 7.0 0
13 7.0 1
15 7.0 1
5 7.1 0
7 7.1 0
14 7.1 1
16 7.1 1
18 7.1 1
29 7.1 1
35 7.1 1
40 7.1 1
2 7.2 0
4 7.2 0
6 7.2 2
32 7.2 1
34 7.2 1
38 7.2 1
3 7.3 0
11 7.3 1
17 7.3 1
26 7.3 1
28 7.3 1
33 7.3 1
12 7.4 1
19 7.4 1
20 7.4 1
21 7.4 1
24 7.4 1
25 7.4 1
27 7.4 1
30 7.4 1
37 7.4 1
9 7.5 0
15 7.5 1
23 7.5 1
31 7.5 1
35 7.5 1
36 7.5 1
39 7.5 1
1 7.6 0
10 7.6 2
13 7.6 1
22 7.6 1
40 7.6 1
2 7.7 0
5 7.7 0
7 7.7 0
8 7.7 0
14 7.7 1
18 7.7 1
29 7.7 1
32 7.7 1
34 7.7 1
38 7.7 1
4 7.8 0
6 7.8 2
11 7.8 1
16 7.8 1
20 7.8 1
3 7.9 0
17 7.9 1
19 7.9 1
26 7.9 1
27 7.9 1
28 7.9 1
37 7.9 1
9 8.0 0
12 8.0 1
15 8.0 1
24 8.0 1
25 8.0 1
33 8.0 1
35 8.0 1
39 8.0 1
13 8.1 1
23 8.1 1
36 8.1 1
1 8.2 0
2 8.2 0
14 8.2 1
18 8.2 1
22 8.2 1
30 8.2 1
31 8.2 1
32 8.2 1
38 8.2 1
40 8.2 1
6 8.3 2
7 8.3 0
11 8.3 1
20 8.3 1
21 8.3 1
29 8.3 1
34 8.3 1
4 8.4 0
5 8.4 0
8 8.4 0
10 8.4 2
19 8.4 1
26 8.4 1
37 8.4 1
3 8.5 0
9 8.5 0
15 8.5 1
16 8.5 1
17 8.5 1
24 8.5 1
25 8.5 1
27 8.5 1
28 8.5 1
35 8.5 1
12 8.6 1
13 8.6 1
39 8.6 1
2 8.7 0
23 8.7 1
33 8.7 1
36 8.7 1
38 8.7 1
40 8.7 1
1 8.8 0
14 8.8 1
18 8.8 1
20 8.8 1
29 8.8 1
32 8.8 1
6 8.9 2
7 8.9 0
11 8.9 1
19 8.9 1
22 8.9 1
26 8.9 1
31 8.9 1
34 8.9 1
37 8.9 1
4 9.0 0
8 9.0 0
9 9.0 0
15 9.0 1
27 9.0 1
30 9.0 1
35 9.0 1
3 9.1 0
5 9.1 0
10 9.1 2
12 9.1 1
13 9.1 1
16 9.1 1
24 9.1 1
25 9.1 1
28 9.1 1
39 9.1 1
17 9.2 1
21 9.2 1
38 9.2 1
40 9.2 1
2 9.3 0
18 9.3 1
20 9.3 1
23 9.3 1
32 9.3 1
36 9.3 1
1 9.4 0
11 9.4 1
14 9.4 1
19 9.4 1
29 9.4 1
33 9.4 1
34 9.4 1
35 9.4 1
4 9.5 0
6 9.5 2
7 9.5 0
9 9.5 0
22 9.5 1
26 9.5 1
27 9.5 1
37 9.5 1
13 9.6 1
15 9.6 1
28 9.6 1
31 9.6 1
5 9.7 0
8 9.7 0
12 9.7 1
24 9.7 1
25 9.7 1
38 9.7 1
39 9.7 1
40 9.7 1
2 9.8 0
3 9.8 0
10 9.8 2
16 9.8 1
17 9.8 1
20 9.8 1
30 9.8 1
32 9.8 1
11 9.9 1
14 9.9 1
18 9.9 1
19 9.9 1
23 9.9 1
35 9.9 1
36 9.9 1
1 10.0 0
6 10.0 2
9 10.0 0
26 10.0 1
29 10.0 1
34 10.0 1
37 10.0 1
4 10.1 0
7 10.1 0
13 10.1 1
15 10.1 1
21 10.1 1
27 10.1 1
33 10.1 1
22 10.2 1
28 10.2 1
38 10.2 1
39 10.2 1
40 10.2 1
2 10.3 0
12 10.3 1
20 10.3 1
24 10.3 1
25 10.3 1
31 10.3 1
32 10.3 1
3 10.4 0
5 10.4 0
8 10.4 0
17 10.4 1
19 10.4 1
35 10.4 1
9 10.5 0
10 10.5 2
