pedestrianId simTime groupId-PID5
1 0.0 0
2 0.0 0
3 0.0 0
4 0.0 0
5 0.0 0
6 0.0 0
7 0.0 0
8 0.0 0
9 0.0 0
10 0.0 0
11 0.0 1
12 0.0 1
13 0.0 1
14 0.0 1
15 0.0 1
16 0.0 1
2 0.5 0
3 0.5 0
4 0.5 0
5 0.5 0
6 0.5 0
7 0.5 0
9 0.5 0
13 0.5 1
14 0.5 1
15 0.5 1
16 0.5 1
1 0.6 0
8 0.6 0
10 0.6 0
11 0.6 1
12 0.6 1
17 0.8 1
18 0.8 0
19 0.8 1
20 0.8 1
21 0.8 1
22 0.8 1
23 0.8 1
24 0.8 1
25 0.8 0
26 0.8 1
27 0.8 1
28 0.8 1
4 0.9 0
7 1.0 0
9 1.0 0
15 1.0 1
2 1.1 0
3 1.1 0
5 1.1 0
6 1.1 0
11 1.1 1
13 1.1 1
14 1.1 1
16 1.1 1
1 1.2 0
12 1.2 1
29 1.2 1
30 1.2 1
8 1.3 0
10 1.3 0
17 1.3 1
21 1.3 1
26 1.3 1
4 1.4 0
18 1.4 0
19 1.4 0
20 1.4 1
22 1.4 1
23 1.4 1
24 1.4 1
28 1.4 1
7 1.5 0
9 1.5 0
2 1.6 0
3 1.6 0
5 1.6 0
6 1.6 0
13 1.6 1
14 1.6 1
15 1.6 1
16 1.6 1
25 1.6 0
31 1.6 1
32 1.6 1
33 1.6 1
34 1.6 1
35 1.6 1
36 1.6 1
37 1.6 1
38 1.6 1
39 1.6 1
40 1.6 0
41 1.6 1
11 1.7 1
29 1.7 1
30 1.7 1
1 1.8 0
4 1.8 0
12 1.8 1
26 1.8 1
27 1.8 1
8 1.9 0
10 1.9 0
17 1.9 1
21 1.9 1
22 1.9 1
24 1.9 1
28 1.9 1
7 2.0 0
9 2.0 0
20 2.0 1
23 2.0 1
42 2.0 1
43 2.0 0
14 2.1 1
15 2.1 1
18 2.1 0
19 2.1 0
29 2.1 1
32 2.1 1
34 2.1 1
36 2.1 1
38 2.1 1
40 2.1 0
41 2.1 1
2 2.2 0
3 2.2 0
5 2.2 0
6 2.2 0
11 2.2 1
