pedestrianId simTime groupId-PID5
1 0.0 0
2 0.0 0
3 0.0 0
1 0.6 0
3 0.7 0
2 0.9 0
1 1.3 0
3 1.4 2
2 1.7 0
1 1.9 0
3 2.1 2
1 2.5 0
2 2.6 0
3 2.7 2
1 3.2 0
4 3.2 0
5 3.2 2
6 3.2 0
3 3.4 2
2 3.5 0
5 3.7 2
6 3.7 0
1 3.8 0
4 3.8 0
3 4.1 2
5 4.2 2
6 4.2 0
2 4.3 0
1 4.4 0
4 4.4 0
5 4.7 2
6 4.7 0
3 4.8 2
4 5.0 0
1 5.1 0
2 5.2 0
6 5.2 0
5 5.3 2
3 5.5 2
1 5.7 0
4 5.7 0
6 5.7 0
5 5.8 2
2 6.0 0
7 6.0 0
8 6.0 0
9 6.0 2
3 6.2 2
4 6.3 0
5 6.3 2
6 6.3 0
1 6.4 0
8 6.5 0
7 6.6 0
5 6.8 2
6 6.8 0
2 6.9 0
3 6.9 2
4 6.9 0
9 6.9 2
1 7.0 2
8 7.1 0
7 7.2 0
5 7.3 2
6 7.3 0
3 7.5 2
4 7.5 0
1 7.6 2
8 7.6 0
9 7.7 2
2 7.8 0
5 7.8 2
6 7.8 0
7 7.8 0
4 8.1 0
3 8.2 2
8 8.2 0
1 8.3 2
5 8.3 2
6 8.3 0
7 8.5 0
2 8.6 0
9 8.6 2
4 8.7 0
8 8.7 0
5 8.8 2
6 8.8 0
1 8.9 2
3 8.9 2
7 9.1 0
10 9.2 0
11 9.2 1
12 9.2 1
4 9.3 0
6 9.3 0
8 9.3 0
5 9.4 2
1 9.5 2
2 9.5 0
9 9.5 2
3 9.6 2
7 9.7 0
10 9.7 0
6 9.8 0
8 9.8 0
11 9.8 1
5 9.9 2
12 9.9 1
4 10.0 0
1 10.2 2
10 10.2 0
3 10.3 2
6 10.3 0
7 10.3 0
9 10.3 2
2 10.4 0
5 10.4 2
8 10.4 0
11 10.4 1
4 10.6 0
12 10.6 1
10 10.7 0
1 10.8 2
6 10.8 0
5 10.9 2
7 10.9 0
8 10.9 0
3 11.0 2
11 11.1 1
2 11.2 0
4 11.2 0
9 11.2 2
